MapCHECK 3 Measurement File:	Measured File

Header:
File Revision:	A
File Name:	H:\Physics\Share\MapCHECK\MapCHECK_QA\276477001(Essen)\2025\6\Linearity_1000MU_4-Jun-2025-A.txt
Date:	06/04/25	Time:	21:44:18	
Calibration File:	6x_newMapcheck.cal
Software Version:	8.6.0.76

	Device Config
Model:	1178 MapCHECK 3
Serial:	276477001
Hardware Revision:	E3\D3
Firmware Version:	1.00.01.00
FPGA Version:	1.0.0
Diode Type:	4
EIB Total Counts:	17015502	15690259
Collection Interval:	50	ms

	Device Setup
Beam Energy:	6	MV
MapPHAN:	0	
Orientation:	0

	Dose Calibration
Dose Per Count:	2.363315171e-05
Energy:	6x
Time Stamp:	1749090200
Temperature:	19.95342752	C
Comments:	6x       BR3_6/4/2025

	Data Corrections Applied
Absolute Dose:	1
Temperature:	1
Angular:	1
Field Size:	0

	Measurement Info
Delivery Type:	VMAT
Temperature:	20.066
Update Count:	2122
Backgrounds Count:	1
Total Pulses:	39908
Total Time:	115450	ms
Beam ON Time:	106050	ms
CaxY:	33
CaxX:	27
Row Counts in 2D:	65
Col Counts in 2D:	53

Background
Ycm	ROW	
-14.5	4	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	105913.445110653300000	0.000000000000000	115595.093353445120000	0.000000000000000	121472.725517819920000	0.000000000000000	125994.583237208320000	0.000000000000000	130584.446229384220000	0.000000000000000	144185.473027001800000	0.000000000000000	199182.878176348900000	0.000000000000000	200699.127847540400000	0.000000000000000	199521.254065613900000	0.000000000000000	198287.679701716900000	0.000000000000000	146171.360620592800000	0.000000000000000	129852.579368057160000	0.000000000000000	129331.557083110400000	0.000000000000000	123219.747857419200000	0.000000000000000	119348.742282563100000	0.000000000000000	111083.176472695240000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-15.0	3	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	105524.736009195660000	0.000000000000000	111401.422162608080000	0.000000000000000	116000.898430637380000	0.000000000000000	120052.670244432700000	0.000000000000000	122667.212645303260000	0.000000000000000	166133.465639798300000	0.000000000000000	189357.057394629400000	0.000000000000000	189529.016783768100000	0.000000000000000	190246.437418796500000	0.000000000000000	153520.440514868600000	0.000000000000000	129637.268589001900000	0.000000000000000	120539.208021735560000	0.000000000000000	119870.515452034260000	0.000000000000000	117011.707537933260000	0.000000000000000	114578.387838699140000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-15.5	2	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	97508.553759979380000	0.000000000000000	103653.462558955840000	0.000000000000000	105100.507868394520000	0.000000000000000	110061.563535113420000	0.000000000000000	119843.816518549320000	0.000000000000000	174206.706538655000000	0.000000000000000	176161.065675835600000	0.000000000000000	174998.552572140900000	0.000000000000000	174323.518922623800000	0.000000000000000	121622.469795975480000	0.000000000000000	111083.260969867480000	0.000000000000000	108714.684689021540000	0.000000000000000	106246.373249998440000	0.000000000000000	98179.765513634320000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
-16.0	1	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	90057.577389672380000	0.000000000000000	91106.766633423760000	0.000000000000000	103123.684143266640000	0.000000000000000	112502.637949020140000	0.000000000000000	140851.270615404600000	0.000000000000000	164036.326133866500000	0.000000000000000	169378.572229005800000	0.000000000000000	166848.277108341800000	0.000000000000000	138446.560406426000000	0.000000000000000	106716.981560501840000	0.000000000000000	101112.921989347220000	0.000000000000000	100288.943260608000000	0.000000000000000	97815.294443506960000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
	COL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
	Xcm	-13.0	-12.5	-12.0	-11.5	-11.0	-10.5	-10.0	-9.5	-9.0	-8.5	-8.0	-7.5	-7.0	-6.5	-6.0	-5.5	-5.0	-4.5	-4.0	-3.5	-3.0	-2.5	-2.0	-1.5	-1.0	-0.5	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	4.5	5.0	5.5	6.0	6.5	7.0	7.5	8.0	8.5	9.0	9.5	10.0	10.5	11.0	11.5	12.0	12.5	13.0

Dose Counts
Ycm	ROW	
16.0	65	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.286347980157788	0.000000000000000	2.427795129593694	0.000000000000000	2.330038999277835	0.000000000000000	2.589327616461022	0.000000000000000	3.218903444726677	0.000000000000000	3.689544135663623	0.000000000000000	3.843096418402771	0.000000000000000	3.914651650988737	0.000000000000000	3.402494426800521	0.000000000000000	2.452641962126852	0.000000000000000	2.351557612355490	0.000000000000000	2.419687083240188	0.000000000000000	2.453597589741185	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.597479705410643	0.000000000000000	2.579085299970886	0.000000000000000	2.566166251696281	0.000000000000000	2.797558112798996	0.000000000000000	3.007510670202646	0.000000000000000	4.280632137089787	0.000000000000000	4.445452078314031	0.000000000000000	4.515282374104774	0.000000000000000	4.410705561039702	0.000000000000000	3.128960464013142	0.000000000000000	2.961039365046141	0.000000000000000	2.778954081379692	0.000000000000000	2.839791190576024	0.000000000000000	2.716633115587629	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.827827642799191	0.000000000000000	2.932950589089024	0.000000000000000	3.185614004731311	0.000000000000000	3.407513312680346	0.000000000000000	3.447430336767974	0.000000000000000	4.343904837424349	0.000000000000000	5.227055829999390	0.000000000000000	5.169219991721936	0.000000000000000	5.247154341479982	0.000000000000000	4.581691184364066	0.000000000000000	3.606632131042292	0.000000000000000	3.487554782816758	0.000000000000000	3.221185138677079	0.000000000000000	3.179831548984688	0.000000000000000	2.812300659252290	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.966090005269636	0.000000000000000	3.135792568505465	0.000000000000000	3.326209944425686	0.000000000000000	3.355768620481497	0.000000000000000	3.464584729596800	0.000000000000000	3.769966321001778	0.000000000000000	5.212271246184792	0.000000000000000	5.273225243714758	0.000000000000000	4.963902755778342	0.000000000000000	5.084128146389694	0.000000000000000	3.803206653517063	0.000000000000000	3.512204018091611	0.000000000000000	3.512504248952840	0.000000000000000	3.396246401168456	0.000000000000000	3.169659351250699	0.000000000000000	2.977402841365487	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.168674824055838	0.000000000000000	3.524202873407337	0.000000000000000	3.566639860959461	0.000000000000000	3.850226651186901	0.000000000000000	3.963890766871042	0.000000000000000	4.118608992717035	0.000000000000000	5.060990517706012	0.000000000000000	5.987802079055844	0.000000000000000	6.027262046917542	0.000000000000000	5.907018945622398	0.000000000000000	5.302184733460922	0.000000000000000	4.254319704216509	0.000000000000000	3.955855303616711	0.000000000000000	3.768553668207391	0.000000000000000	3.749130353675882	0.000000000000000	3.572955082892043	0.000000000000000	3.223889334245767	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.249995212616883	0.000000000000000	3.569170643377679	0.000000000000000	3.731311431466272	0.000000000000000	3.901312236105344	0.000000000000000	3.974967222166886	0.000000000000000	4.203175244984270	0.000000000000000	4.548940785712394	0.000000000000000	5.985619675173384	0.000000000000000	6.236032508086250	0.000000000000000	6.088992213911304	0.000000000000000	5.905177257286264	0.000000000000000	4.597517882043440	0.000000000000000	4.242471121201826	0.000000000000000	4.134851686921372	0.000000000000000	4.019766845230110	0.000000000000000	3.845328313326242	0.000000000000000	3.525872882778860	0.000000000000000	3.238307919088590	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.437750418409014	0.000000000000000	3.677942880221599	0.000000000000000	3.983426123120172	0.000000000000000	4.011426071054147	0.000000000000000	4.575151556836410	0.000000000000000	4.837565922622846	0.000000000000000	5.131220792050512	0.000000000000000	6.043589001585676	0.000000000000000	6.858866164113196	0.000000000000000	6.987526664089800	0.000000000000000	6.887753373657046	0.000000000000000	6.306324882982736	0.000000000000000	5.026049708531318	0.000000000000000	4.964354336398396	0.000000000000000	4.565737752629004	0.000000000000000	4.371781423526129	0.000000000000000	3.953112921076036	0.000000000000000	3.838791688310813	0.000000000000000	3.386648392125011	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.483079159015442	0.000000000000000	3.771548005857036	0.000000000000000	4.004150524671976	0.000000000000000	4.430907325861637	0.000000000000000	4.636600574291970	0.000000000000000	4.805294172942402	0.000000000000000	5.305120006725900	0.000000000000000	5.444609057887162	0.000000000000000	7.087164896115412	0.000000000000000	7.178298219672190	0.000000000000000	7.175008108414178	0.000000000000000	7.077987784522252	0.000000000000000	5.652468290103238	0.000000000000000	5.134861254847516	0.000000000000000	5.065094031572090	0.000000000000000	4.922493128949424	0.000000000000000	4.511472671075538	0.000000000000000	4.177088341082906	0.000000000000000	3.776151454361479	0.000000000000000	3.505680453316989	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.533328133115267	0.000000000000000	4.025851897537061	0.000000000000000	4.375433359243900	0.000000000000000	4.861992363787330	0.000000000000000	5.197092599057110	0.000000000000000	5.663910776735214	0.000000000000000	6.021289325434654	0.000000000000000	6.256558712386206	0.000000000000000	7.415260182429466	0.000000000000000	8.331562745543042	0.000000000000000	8.467882406168194	0.000000000000000	8.340395737860072	0.000000000000000	7.655933843875924	0.000000000000000	6.335158437495092	0.000000000000000	6.093855573523516	0.000000000000000	5.657771348100596	0.000000000000000	5.239621731132544	0.000000000000000	4.789594741145890	0.000000000000000	4.431634381329771	0.000000000000000	4.013188357874056	0.000000000000000	3.725305597822715	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.743606467442467	0.000000000000000	4.064849191503172	0.000000000000000	4.506064920311630	0.000000000000000	5.070100358294998	0.000000000000000	5.594223517341268	0.000000000000000	5.910163200751990	0.000000000000000	6.359424751047286	0.000000000000000	6.963500425285900	0.000000000000000	7.253110390162230	0.000000000000000	8.982175175160346	0.000000000000000	9.279201460003896	0.000000000000000	9.326545886225456	0.000000000000000	9.061409355655242	0.000000000000000	7.334534760049590	0.000000000000000	6.745083762224548	0.000000000000000	6.676974886177570	0.000000000000000	6.057188650697348	0.000000000000000	5.710487647919354	0.000000000000000	5.290373444107686	0.000000000000000	4.626834867909810	0.000000000000000	4.235118910879128	0.000000000000000	3.755615856339462	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	3.955694404683398	0.000000000000000	4.380702027285260	0.000000000000000	4.920801003071058	0.000000000000000	5.430398205847888	0.000000000000000	6.086340077053364	0.000000000000000	6.337987326727434	0.000000000000000	7.283048928324402	0.000000000000000	7.761491023364914	0.000000000000000	8.229483784421968	0.000000000000000	9.619168500526506	0.000000000000000	10.619553429208312	0.000000000000000	10.530604282537770	0.000000000000000	10.610978335481044	0.000000000000000	9.849235578418564	0.000000000000000	8.211062061954858	0.000000000000000	7.843014858895010	0.000000000000000	7.065130293520976	0.000000000000000	6.540822904517474	0.000000000000000	6.123675542735796	0.000000000000000	5.399006202614174	0.000000000000000	4.831873294483276	0.000000000000000	4.449384174737938	0.000000000000000	3.958848638647171	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	3.944042306649749	0.000000000000000	4.480210945382529	0.000000000000000	4.993022453380008	0.000000000000000	5.390285776173498	0.000000000000000	6.411225109887824	0.000000000000000	6.898679903937440	0.000000000000000	7.860980241582134	0.000000000000000	8.089687756927318	0.000000000000000	8.818969640365950	0.000000000000000	9.613346560039568	0.000000000000000	11.548424712394892	0.000000000000000	11.367296885872912	0.000000000000000	11.906506774655280	0.000000000000000	11.629927859652916	0.000000000000000	9.732623805364906	0.000000000000000	9.158994141913764	0.000000000000000	8.530260905655852	0.000000000000000	7.879899938529998	0.000000000000000	7.041111090574892	0.000000000000000	6.463882820002846	0.000000000000000	5.616489139175426	0.000000000000000	5.006793491600664	0.000000000000000	4.414241342797497	0.000000000000000	3.893124755866938	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	4.074121573427870	0.000000000000000	4.761885153565430	0.000000000000000	5.300364588537156	0.000000000000000	5.943015848965304	0.000000000000000	6.783403460926078	0.000000000000000	7.677003152520666	0.000000000000000	8.537239896366128	0.000000000000000	9.544470331899916	0.000000000000000	10.352377396869982	0.000000000000000	11.131657419789244	0.000000000000000	12.417853381446320	0.000000000000000	13.685000191848242	0.000000000000000	13.717592038850776	0.000000000000000	13.611431295798988	0.000000000000000	12.820644396456312	0.000000000000000	11.070485370971490	0.000000000000000	10.430824513705378	0.000000000000000	9.449719063306966	0.000000000000000	8.657843773998140	0.000000000000000	7.662326641968712	0.000000000000000	6.847300389983894	0.000000000000000	5.831480717047848	0.000000000000000	5.269200796460844	0.000000000000000	4.536677809463114	0.000000000000000	4.083257235717708	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	4.068450751253575	0.000000000000000	4.581629759026896	0.000000000000000	5.442581158682462	0.000000000000000	6.108061530017992	0.000000000000000	7.152658588272904	0.000000000000000	8.217230460851218	0.000000000000000	9.204079937523132	0.000000000000000	10.303311693480166	0.000000000000000	11.324177962614810	0.000000000000000	12.192092308547360	0.000000000000000	13.457681991936220	0.000000000000000	15.241458067253260	0.000000000000000	15.749088073616790	0.000000000000000	15.479640661595762	0.000000000000000	15.256934306583236	0.000000000000000	13.240617831304598	0.000000000000000	12.274719038314232	0.000000000000000	11.512367085538772	0.000000000000000	10.509827039819516	0.000000000000000	9.213046517937920	0.000000000000000	8.160098208069124	0.000000000000000	7.214513150035486	0.000000000000000	6.118158906661162	0.000000000000000	5.343786433047166	0.000000000000000	4.644338727300490	0.000000000000000	4.024101387025616	0.000000000000000
9.0	51	4.131267904261972	0.000000000000000	4.784770651861442	0.000000000000000	5.756134089067416	0.000000000000000	6.452362499487834	0.000000000000000	7.405316239558402	0.000000000000000	8.653945148151040	0.000000000000000	9.986179741257964	0.000000000000000	11.386517991214430	0.000000000000000	12.894602391994200	0.000000000000000	13.900466186619222	0.000000000000000	15.234621804770116	0.000000000000000	17.052926190158760	0.000000000000000	18.248214479035200	0.000000000000000	18.618270124569310	0.000000000000000	18.158621625194180	0.000000000000000	17.120699163018130	0.000000000000000	15.294968139357356	0.000000000000000	14.326526735485816	0.000000000000000	12.923382060223382	0.000000000000000	11.350704118494570	0.000000000000000	9.905684389279052	0.000000000000000	8.601786969268438	0.000000000000000	7.514650796968638	0.000000000000000	6.430467381904780	0.000000000000000	5.641378851484584	0.000000000000000	4.781891230655900	0.000000000000000	4.177095202276233
8.5	50	0.000000000000000	4.515565503187876	0.000000000000000	5.515336830505996	0.000000000000000	6.501532952857018	0.000000000000000	7.590416065503466	0.000000000000000	9.142200334388008	0.000000000000000	10.567105062504834	0.000000000000000	12.372301430464966	0.000000000000000	14.012337770025172	0.000000000000000	15.980647723869372	0.000000000000000	17.277744035157070	0.000000000000000	18.921887707079540	0.000000000000000	21.178861263906970	0.000000000000000	21.955817048678590	0.000000000000000	21.607513263193600	0.000000000000000	21.309173215926420	0.000000000000000	18.718381832998620	0.000000000000000	17.528953345047730	0.000000000000000	16.124034794466800	0.000000000000000	14.080533023447420	0.000000000000000	12.486295593949562	0.000000000000000	10.540484446637250	0.000000000000000	8.962946501870248	0.000000000000000	7.791377930608696	0.000000000000000	6.631964855600036	0.000000000000000	5.536976376073006	0.000000000000000	4.661070703217352	0.000000000000000
8.0	49	4.784448579388000	0.000000000000000	5.614413633293496	0.000000000000000	6.589120527334440	0.000000000000000	7.705748906347306	0.000000000000000	9.490837102671774	0.000000000000000	10.983973404029988	0.000000000000000	13.252646024432096	0.000000000000000	15.303416384183020	0.000000000000000	18.049368512162410	0.000000000000000	19.976166410545990	0.000000000000000	22.155157679518670	0.000000000000000	24.490303693405440	0.000000000000000	25.871153725797720	0.000000000000000	26.104737318464550	0.000000000000000	26.084934450790830	0.000000000000000	24.030167588173820	0.000000000000000	22.114561066490250	0.000000000000000	20.462589495119220	0.000000000000000	17.969407426556460	0.000000000000000	15.651996262768414	0.000000000000000	13.067052219069140	0.000000000000000	10.890904840643966	0.000000000000000	9.200437530547572	0.000000000000000	7.948685293690338	0.000000000000000	6.528830180141798	0.000000000000000	5.601545172973838	0.000000000000000	4.756409344181000
7.5	48	0.000000000000000	5.447115814198434	0.000000000000000	6.480717982985114	0.000000000000000	7.901161613292856	0.000000000000000	9.728071448753846	0.000000000000000	11.405032813995222	0.000000000000000	14.013462666798018	0.000000000000000	16.854437220806320	0.000000000000000	20.215181796495830	0.000000000000000	23.095746036082770	0.000000000000000	26.042753677089200	0.000000000000000	28.493503406790020	0.000000000000000	31.214865307641990	0.000000000000000	31.952762020450300	0.000000000000000	32.009702430959640	0.000000000000000	31.246981037457130	0.000000000000000	28.073712663524450	0.000000000000000	26.148998227468940	0.000000000000000	23.347013346672320	0.000000000000000	20.288535358825420	0.000000000000000	17.018536768035150	0.000000000000000	13.968105936301642	0.000000000000000	11.647012299492644	0.000000000000000	9.602324023899462	0.000000000000000	7.994304595992326	0.000000000000000	6.600338933368208	0.000000000000000	5.577884337666784	0.000000000000000
7.0	47	5.418907723377756	0.000000000000000	6.604733055330128	0.000000000000000	7.974916090705484	0.000000000000000	9.535331496627364	0.000000000000000	11.741662034036320	0.000000000000000	14.341957170374992	0.000000000000000	17.688350050158550	0.000000000000000	21.943211081894500	0.000000000000000	26.719563413874460	0.000000000000000	30.794785687797010	0.000000000000000	34.622503691017200	0.000000000000000	37.494524278268590	0.000000000000000	39.121431858462950	0.000000000000000	39.972935165236190	0.000000000000000	39.688275405154440	0.000000000000000	37.180259091031940	0.000000000000000	34.028760383493460	0.000000000000000	31.368310958305510	0.000000000000000	26.782741692595150	0.000000000000000	21.812436702384920	0.000000000000000	17.751010714181600	0.000000000000000	14.379294335283080	0.000000000000000	11.760178727323664	0.000000000000000	9.751337985007326	0.000000000000000	8.054651691659878	0.000000000000000	6.491760563149488	0.000000000000000	5.407290178926672
6.5	46	0.000000000000000	6.358213148433742	0.000000000000000	7.851825753947368	0.000000000000000	9.600347619826058	0.000000000000000	11.864487581865228	0.000000000000000	14.521038490808402	0.000000000000000	18.280163996513620	0.000000000000000	23.235741292931490	0.000000000000000	29.859261887432230	0.000000000000000	37.611763352977730	0.000000000000000	43.328908366562010	0.000000000000000	47.551880581639080	0.000000000000000	51.118660676967640	0.000000000000000	51.705549994964720	0.000000000000000	52.057757420512840	0.000000000000000	51.316414293952420	0.000000000000000	46.971582493304160	0.000000000000000	43.166080366656120	0.000000000000000	37.931675732653160	0.000000000000000	30.346571467930660	0.000000000000000	23.281732909853590	0.000000000000000	18.428378483228810	0.000000000000000	14.634397708439186	0.000000000000000	11.984017031428984	0.000000000000000	9.704000770447828	0.000000000000000	7.796104558826822	0.000000000000000	6.475559720623370	0.000000000000000
6.0	45	6.203370467218268	0.000000000000000	8.053242395753130	0.000000000000000	9.597609358548178	0.000000000000000	11.709580011778076	0.000000000000000	14.406353907036784	0.000000000000000	18.693605544030260	0.000000000000000	23.919444084582000	0.000000000000000	31.840658114846670	0.000000000000000	46.852035086608900	0.000000000000000	63.141124377730620	0.000000000000000	69.471254085772100	0.000000000000000	73.565728121830120	0.000000000000000	74.213835528783960	0.000000000000000	74.707628185801860	0.000000000000000	73.858873313919500	0.000000000000000	71.240227758016640	0.000000000000000	67.721434402454560	0.000000000000000	60.502904605469420	0.000000000000000	47.747517627943400	0.000000000000000	31.891118716139900	0.000000000000000	23.676506875201080	0.000000000000000	18.091403871364550	0.000000000000000	14.616141534147160	0.000000000000000	11.744145896071994	0.000000000000000	9.483949168808656	0.000000000000000	7.620875896088730	0.000000000000000	6.489997624692958
5.5	44	0.000000000000000	7.450617331304314	0.000000000000000	8.970836972648098	0.000000000000000	11.451964995234730	0.000000000000000	14.365487500167500	0.000000000000000	18.455018433680200	0.000000000000000	23.834275990858960	0.000000000000000	32.634960691389810	0.000000000000000	54.708812362969100	0.000000000000000	121.521507481123640	0.000000000000000	138.490596390967400	0.000000000000000	146.148974032230700	0.000000000000000	148.334897859763100	0.000000000000000	149.336873940115600	0.000000000000000	148.713624073129600	0.000000000000000	146.830373603081000	0.000000000000000	143.125081301265200	0.000000000000000	134.465595647467100	0.000000000000000	116.847907533218160	0.000000000000000	54.700060531634920	0.000000000000000	32.199491786252250	0.000000000000000	24.052337887257270	0.000000000000000	18.399161703259740	0.000000000000000	14.452120987954720	0.000000000000000	11.394867110939156	0.000000000000000	9.124219455696530	0.000000000000000	7.280840783589794	0.000000000000000
5.0	43	7.402855373901188	0.000000000000000	9.284271530019694	0.000000000000000	11.295187936147674	0.000000000000000	14.284265533360442	0.000000000000000	18.275032600131440	0.000000000000000	23.605257916378940	0.000000000000000	31.731096096180890	0.000000000000000	52.600870230099980	0.000000000000000	433.490368220193500	0.000000000000000	770.286156932521200	0.000000000000000	787.976588920708400	0.000000000000000	796.484844129715400	0.000000000000000	793.706244381159000	0.000000000000000	794.895032815743800	0.000000000000000	796.293575545525800	0.000000000000000	783.272558407206600	0.000000000000000	780.813114289695000	0.000000000000000	764.229746910354800	0.000000000000000	488.846966347616000	0.000000000000000	52.360158319042780	0.000000000000000	31.670479388613400	0.000000000000000	23.335077800661450	0.000000000000000	18.207096122114090	0.000000000000000	14.188276187755380	0.000000000000000	11.298402207482614	0.000000000000000	9.159221048730794	0.000000000000000	7.425931362306706
4.5	42	0.000000000000000	8.734180613145708	0.000000000000000	10.751413530986664	0.000000000000000	13.497830479101144	0.000000000000000	17.505159341131220	0.000000000000000	22.698824988395160	0.000000000000000	30.079836024424060	0.000000000000000	44.306210925750760	0.000000000000000	115.762732112677520	0.000000000000000	833.081500134059000	0.000000000000000	884.579063830173000	0.000000000000000	898.518626597683600	0.000000000000000	904.487118416489600	0.000000000000000	906.209450907206400	0.000000000000000	905.818088932123600	0.000000000000000	902.354793430694400	0.000000000000000	900.010063011497800	0.000000000000000	888.410106739497000	0.000000000000000	839.485225547248400	0.000000000000000	120.028849062393600	0.000000000000000	45.028337298460390	0.000000000000000	30.404334732192470	0.000000000000000	22.560816123802830	0.000000000000000	17.544227329601400	0.000000000000000	13.613852572651308	0.000000000000000	10.746606573932822	0.000000000000000	8.623260473448932	0.000000000000000
4.0	41	8.054478927398642	0.000000000000000	10.309268972465876	0.000000000000000	12.653292734581968	0.000000000000000	15.931577680182010	0.000000000000000	20.753160607653640	0.000000000000000	27.629021985264290	0.000000000000000	38.464496474404580	0.000000000000000	64.971183112064460	0.000000000000000	507.318907753159000	0.000000000000000	897.316383238951400	0.000000000000000	920.337148357542400	0.000000000000000	930.420639989355800	0.000000000000000	932.540447849254600	0.000000000000000	935.301422372879800	0.000000000000000	931.160841876824800	0.000000000000000	929.505742411908200	0.000000000000000	925.154875710904400	0.000000000000000	901.352575858563800	0.000000000000000	543.670593802640400	0.000000000000000	67.324534800851680	0.000000000000000	38.892719952421260	0.000000000000000	27.803442493252740	0.000000000000000	21.074679304239570	0.000000000000000	15.974822320674840	0.000000000000000	12.746510078647756	0.000000000000000	10.231256885166934	0.000000000000000	8.347600659291104
3.5	40	0.000000000000000	9.555896430979422	0.000000000000000	11.875275529644872	0.000000000000000	14.875821220398348	0.000000000000000	19.043548131046630	0.000000000000000	25.369061187670550	0.000000000000000	34.192893196647510	0.000000000000000	51.376079231102060	0.000000000000000	128.264545846681300	0.000000000000000	859.258547285487600	0.000000000000000	915.542646374832400	0.000000000000000	933.056781303999600	0.000000000000000	936.632795755039800	0.000000000000000	942.616517768298200	0.000000000000000	938.199476219416200	0.000000000000000	937.688964443425200	0.000000000000000	935.944641816143400	0.000000000000000	918.585703551860600	0.000000000000000	866.555199343698000	0.000000000000000	134.721740816738800	0.000000000000000	51.605928188003240	0.000000000000000	34.429090427227250	0.000000000000000	25.759016664969460	0.000000000000000	19.229413079729780	0.000000000000000	14.818834534528048	0.000000000000000	12.037697677325752	0.000000000000000	9.529794163501382	0.000000000000000
